Emp_id,Date,Time
4,2022-02-03,00:22:00.654520
4,2022-02-03,00:22:44.283665
4,2022-02-03,00:22:44.399636
4,2022-02-03,00:22:44.902635
4,2022-02-03,00:22:47.229636
4,2022-02-03,00:22:47.336635
4,2022-02-03,00:22:47.572036
4,2022-02-03,00:22:47.700035
4,2022-02-03,00:22:48.069036
4,2022-02-03,00:22:48.401036
4,2022-02-03,00:22:48.480063
4,2022-02-03,00:22:49.274036
4,2022-02-03,00:22:49.361061
4,2022-02-03,00:22:49.435061
4,2022-02-03,00:22:49.854081
4,2022-02-03,00:22:49.931080
4,2022-02-03,00:22:50.056080
4,2022-02-03,00:22:50.205187
4,2022-02-03,00:22:50.276214
4,2022-02-03,00:22:51.793029
4,2022-02-03,00:22:54.773028
4,2022-02-03,00:22:54.898028
4,2022-02-03,00:22:54.966028
4,2022-02-03,00:22:55.093029
4,2022-02-03,00:22:55.217030
4,2022-02-03,00:22:55.320028
4,2022-02-03,00:22:55.447036
4,2022-02-03,00:22:55.577032
4,2022-02-03,00:22:55.697028
4,2022-02-03,00:22:55.805028
4,2022-02-03,00:22:56.459168
4,2022-02-03,00:22:57.413677
4,2022-02-03,00:22:57.755673
4,2022-02-03,00:22:57.865674
4,2022-02-03,00:22:58.047676
4,2022-02-03,00:22:58.859674
4,2022-02-03,00:22:58.940673
4,2022-02-03,00:22:59.092675
4,2022-02-03,00:22:59.399673
4,2022-02-03,00:23:01.621739
4,2022-02-03,00:23:01.709252
4,2022-02-03,00:23:01.825251
4,2022-02-03,00:23:01.902277
4,2022-02-03,00:23:01.985250
4,2022-02-03,00:23:02.062250
4,2022-02-03,00:23:02.168252
4,2022-02-03,00:23:02.239250
4,2022-02-03,00:23:02.449253
4,2022-02-03,00:23:35.798861
4,2022-02-03,00:23:35.907870
4,2022-02-03,00:23:35.998861
4,2022-02-03,00:23:36.078864
4,2022-02-03,00:23:36.183861
4,2022-02-03,00:23:36.308864
4,2022-02-03,00:23:36.389864
